Table,Field Name,Field Type,Length,Decimals,Field Description,Report Writer Heading
PHYSIC,TEST22COMM,C,30,0,Test 22 comment,Test 22 Comment
PHYSIC,TEST23DATE,D,8,0,Test 23 date,Test23Dt
PHYSIC,TEST23COMM,C,30,0,Test 23 comment,Test 23 Comment
PHYSIC,TEST24DATE,D,8,0,Test 24 date,Test24Dt
PHYSIC,TEST24COMM,C,30,0,Test 24 comment,Test 24 Comment
PHYSIC,TEST25DATE,D,8,0,Test 25 date,Test25Dt
PHYSIC,TEST25COMM,C,30,0,Test 25 comment,Test 25 Comment
PHYSIC,TEST26DATE,D,8,0,Test 26 date,Test26Dt
PHYSIC,TEST26COMM,C,30,0,Test 26 comment,Test 26 Comment
PHYSIC,TEST27DATE,D,8,0,Test 27 date,Test27Dt
PHYSIC,TEST27COMM,C,30,0,Test 27 comment,Test 27 Comment
PHYSIC,TEST28DATE,D,8,0,Test 28 date,Test28Dt
PHYSIC,TEST28COMM,C,30,0,Test 28 comment,Test 28 Comment
PHYSIC,TEST29DATE,D,8,0,Test 29 date,Test29Dt
PHYSIC,TEST29COMM,C,30,0,Test 29 comment,Test 29 Comment
PHYSIC,TEST30DATE,D,8,0,Test 30 date,Test30Dt
PHYSIC,TEST30COMM,C,30,0,Test 30 comment,Test 30 Comment
PHYSIC,IMMU01DATE,D,8,0,Immunization 01 date,Immu01Dt
PHYSIC,IMMU01COMM,C,30,0,Immunization 01 comment,Immunization 01 Comment
PHYSIC,IMMU02DATE,D,8,0,Immunization 02 date,Immu02Dt
PHYSIC,IMMU02COMM,C,30,0,Immunization 02 comment,Immunization 02 Comment
PHYSIC,IMMU03DATE,D,8,0,Immunization 03 date,Immu03Dt
PHYSIC,IMMU03COMM,C,30,0,Immunization 03 comment,Immunization 03 Comment
PHYSIC,IMMU04DATE,D,8,0,Immunization 04 date,Immu04Dt
PHYSIC,IMMU04COMM,C,30,0,Immunization 04 comment,Immunization 04 Comment
PHYSIC,IMMU05DATE,D,8,0,Immunization 05 date,Immu05Dt
PHYSIC,IMMU05COMM,C,30,0,Immunization 05 comment,Immunization 05 Comment
PHYSIC,IMMU06DATE,D,8,0,Immunization 06 date,Immu06Dt
PHYSIC,IMMU06COMM,C,30,0,Immunization 06 comment,Immunization 06 Comment
PHYSIC,IMMU07DATE,D,8,0,Immunization 07 date,Immu07Dt
PHYSIC,IMMU07COMM,C,30,0,Immunization 07 comment,Immunization 07 Comment
PHYSIC,IMMU08DATE,D,8,0,Immunization 08 date,Immu08Dt
PHYSIC,IMMU08COMM,C,30,0,Immunization 08 comment,Immunization 08 Comment
PHYSIC,IMMU09DATE,D,8,0,Immunization 09 date,Immu09Dt
PHYSIC,IMMU09COMM,C,30,0,Immunization 09 comment,Immunization 09 Comment
PHYSIC,IMMU10DATE,D,8,0,Immunization 10 date,Immu10Dt
PHYSIC,IMMU10COMM,C,30,0,Immunization 10 comment,Immunization 10 Comment
PHYSIC,IMMU11DATE,D,8,0,Immunization 11 date,Immu11Dt
PHYSIC,IMMU11COMM,C,30,0,Immunization 11 comment,Immunization 11 Comment
PHYSIC,IMMU12DATE,D,8,0,Immunization 12 date,Immu12Dt
PHYSIC,IMMU12COMM,C,30,0,Immunization 12 comment,Immunization 12 Comment
PHYSIC,IMMU13DATE,D,8,0,Immunization 13 date,Immu13Dt
PHYSIC,IMMU13COMM,C,30,0,Immunization 13 comment,Immunization 13 Comment
PHYSIC,IMMU14DATE,D,8,0,Immunization 14 date,Immu14Dt
PHYSIC,IMMU14COMM,C,30,0,Immunization 14 comment,Immunization 14 Comment
PHYSIC,IMMU15DATE,D,8,0,Immunization 15 date,Immu15Dt
PHYSIC,IMMU15COMM,C,30,0,Immunization 15 comment,Immunization 15 Comment
PHYSIC,NOTRISKFC,M,4,0,Notable risk factors concern,Notable Risk Factors Concern
PHYSIC,NOTRISKFP,M,4,0,Notable risk factors plan,Notable Risk Factors Plan
PHYSIC,NOTLABAC,M,4,0,Notable lab abnormalities concern,Notable Lab Abnormalities Concern
PHYSIC,NOTLABAP,M,4,0,Notable lab abnormalities plan,Notable Lab Abnormalities Plan
PHYSIC,NOTEKGAC,M,4,0,Notable EKG/Radio. abnormalities concern,Notable EKG/Radio. Abnormalities Concern
PHYSIC,NOTEKBAP,M,4,0,Notable EKG/Radio. abnormalities plan,Notable EKG/Radio. Abnormalities Plan
PHYSIC,NOTEXAMFC,M,4,0,Notable examination findings concern,Notable Examination Findings Concern
PHYSIC,NOTEXAMFP,M,4,0,Notable examination findings plan,Notable Examination Findings Plan
PHYSIC,INTPROBC,M,4,0,Internal problems concern,Internal Problems Concern
PHYSIC,INTPROBP,M,4,0,Internal problems plan,Internal Problems Plan
PHYSIC,OTHER,M,4,0,Other findings and comments,Other Findings and Comments
PHYSIC,IMAGES,M,4,0,,
PHYSIC,CURRENTMED,C,50,0,Current medications,Current medications
PHYSIC,DICTATION,M,4,0,Dictation,Dictation
PHYSIC,PHYSICIAN2,C,40,0,Physician 2 (Orthopedic Exam),Orthopedic Exam Physician
PHYSIC,CHGMARK,C,1,0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Table,Field Name,Field Type,Length,Decimals,Field Description,Report Writer Heading

PROGRS,PROGRESSID,C,10,0,,
PROGRS,PERSONID,C,10,0,,
PROGRS,INJURYID,C,10,0,,
PROGRS,CREATEUSER,C,4,0,User who created the record,UseC
PROGRS,CREATEDATE,D,8,0,Date record was created,DateCr
PROGRS,CREATETIME,C,8,0,Time record was created,TimeCr
PROGRS,MODIFYUSER,C,4,0,User who last modified the record,UseM
PROGRS,MODIFYDATE,D,8,0,Date record was last modified,DateMod
PROGRS,MODIFYTIME,C,8,0,Time record was last modified,TimeMod
PROGRS,SEASON,C,9,0,"Season (Year - 2000, etc.)",Season
PROGRS,SPORT,C,40,0,Sport,Sport
PROGRS,TEAMNAME,C,35,0,Organization name,Organization Name
PROGRS,SUBMITTED,L,1,0,Has this report been submitted? (Y/N),S
PROGRS,SUBMITDATE,D,8,0,Date report was submitted,Sub Date
PROGRS,PROGRSDATE,D,8,0,Date of the progress report,Prg Date
PROGRS,STATUS,C,6,0,Status of the progress report (injury),Status
PROGRS,PROGRESS,M,4,0,Progress of the injury,Progress of Injury
PROGRS,NONACTIVE,M,4,0,Non-active treatment,Non-Active Treatment
PROGRS,ACTIVE,M,4,0,Active treatment,Active Treatment
PROGRS,MEDICATION,M,4,0,Medication,Medication
PROGRS,FUNCACT,M,4,0,Functional Activity,Functional Activity
PROGRS,COMMENT,M,4,0,Comment,Comment
PROGRS,DICTATION,M,4,0,Doctor's dictation,Dictation
PROGRS,SUBJECTIVE,M,4,0,S.O.A.P. - Subjective,Subjective
PROGRS,OBJECTIVE,M,4,0,S.O.A.P. - Objective,Objective
PROGRS,ASSESSMENT,M,4,0,S.O.A.P. - Assessment,Assessment
PROGRS,PLAN,M,4,0,S.O.A.P. - Plan,Plan
PROGRS,IMAGES,M,4,0,,
PROGRS,CHGMARK,C,1,0,,

Table,Field Name,Field Type,Length,Decimals,Field Description,Report Writer Heading

SCHEDULE,SCHEDULEID,C,10,0,,
SCHEDULE,CREATEUSER,C,4,0,User who created the record,UseC
SCHEDULE,CREATEDATE,D,8,0,Date record was created,DateCr
SCHEDULE,CREATETIME,C,8,0,Time record was created,TimeCr
SCHEDULE,MODIFYUSER,C,4,0,User who last modified the record,UseM
SCHEDULE,MODIFYDATE,D,8,0,Date record was last modified,DateMod
SCHEDULE,MODIFYTIME,C,8,0,Time record was last modified,TimeMod
SCHEDULE,TEAMNUMBER,C,2,0,Team number,O#
SCHEDULE,YEAR,C,9,0,"Year (season - 2000, etc.)",Season
SCHEDULE,SPORT,C,40,0,Sport,Sport
SCHEDULE,SEASON,C,15,0,"Season (pre, regular, post)",Game Season
SCHEDULE,SCHEDDATE,D,8,0,Date of game,Sch Date
SCHEDULE,OPPONENT,C,25,0,Opponent,Opponent
SCHEDULE,LOCATION,C,25,0,Location of game,Location
SCHEDULE,DAYNIGHT,C,5,0,Day or night game,When
SCHEDULE,GAMETIME,C,10,0,Time of game,Time
SCHEDULE,NUMGAMES,N,1,0,Number of games,#
SCHEDULE,RESULT1,C,4,0,Result of first game,Res1
SCHEDULE,RESULT2,C,4,0,Result of second game,Res2
SCHEDULE,ISSNUM01,N,5,0,ISS Numeric 01,
SCHEDULE,ISSNUM02,N,5,0,ISS Numeric 02,
SCHEDULE,ISSCHAR01,C,10,0,ISS Character 01,
SCHEDULE,ISSCHAR02,C,10,0,ISS Character 02,
SCHEDULE,TEMPERATE,N,3,0,Temperature,Tmp
SCHEDULE,HUMIDITY,N,3,0,Humidity,Hum
SCHEDULE,HEATINDEX,N,3,0,Heat Index,HIn
SCHEDULE,DURATION,C,5,0,Duration,Dur.
SCHEDULE,CHGMARK,C,1,0,,

Table,Field Name,Field Type,Length,Decimals,Field Description,Report Writer Heading

STATUS,CONTROLID,C,2,0,Control (organization) ID number,
STATUS,FACILITYID,C,8,0,Next facility ID number,
STATUS,SCHEDULEID,C,8,0,Next schedule ID number,
STATUS,PERSONID,C,8,0,Next personnel ID number,
STATUS,INJURYID,C,8,0,Next injury ID number,
STATUS,PROGRESSID,C,8,0,Next progress ID number,
STATUS,TREATMNTID,C,8,0,Next treatment ID number,
STATUS,WEIGHTID,C,8,0,Next weight ID number,
STATUS,FACTRNID,C,8,0,Next facility transaction ID number,
STATUS,PHYSICALID,C,8,0,Next physical ID number,
STATUS,WCHEADID,C,8,0,Next W/C header ID number,
STATUS,WCLINEID,C,8,0,Next W/C line item ID number,
STATUS,ORGEXPID,C,3,0,Next organization weekly export number,
STATUS,MSTEXPID,C,3,0,Next master export number,

Table,Field Name,Field Type,Length,Decimals,Field Description,Report Writer Heading

TRTMNT,TREATMNTID,C,10,0,,
TRTMNT,PERSONID,C,10,0,,
TRTMNT,INJURYLINK,L,1,0,Treatment linked to an injury? (Y/N),I
TRTMNT,INJURYID,C,10,0,,
TRTMNT,CREATEUSER,C,4,0,User who created the record,UseC
TRTMNT,CREATEDATE,D,8,0,Date record was created,DateCr
TRTMNT,CREATETIME,C,8,0,Time record was created,TimeCr
TRTMNT,MODIFYUSER,C,4,0,User who last modified the record,UseM
TRTMNT,MODIFYDATE,D,8,0,Date record was last modified,DateMod
TRTMNT,MODIFYTIME,C,8,0,Time record was last modified,TimeMod
TRTMNT,SEASON,C,9,0,"Season (Year - 2000, etc.)",Season
TRTMNT,SPORT,C,40,0,Sport,Sport
TRTMNT,TEAMNUMBER,C,2,0,Organization number,O#
TRTMNT,TEAMNAME,C,35,0,Organization name,Organization Name
TRTMNT,TREATDATE,D,8,0,Treatment date,Trt Date
TRTMNT,STATUS,C,8,0,"Status (Able, Not Able, Limited)",Status
TRTMNT,MISSEDDAY,L,1,0,Is this a missed day? (Y/N),M
TRTMNT,INJURY,M,4,0,Injury,Injury
TRTMNT,BODYPART,M,4,0,Body part,Body Part
TRTMNT,NONACTIVE,M,4,0,Non-active treatment,Non-Active Treatment
TRTMNT,ACTIVE,M,4,0,Active treatment,Active Treatment
TRTMNT,MEDICATION,M,4,0,Medication,Medication
TRTMNT,FUNCACT,M,4,0,Functional activity,Functional Activity
TRTMNT,LIMITATION,M,4,0,Limitation,Limitation
TRTMNT,COMMENT,M,4,0,Comment,Comment
TRTMNT,SUBJECTIVE,M,4,0,S.O.A.P. - Subjective,Subjective
TRTMNT,OBJECTIVE,M,4,0,S.O.A.P. - Objective,Objective
TRTMNT,ASSESSMENT,M,4,0,S.O.A.P. - Assessment,Assessment
TRTMNT,PLAN,M,4,0,S.O.A.P. - Plan,Plan
TRTMNT,DLDAY,L,1,0,D/L day? (Y/N),D
TRTMNT,OSHA,C,3,0,OSHA recordable (Yes/No),OSH
TRTMNT,IMAGES,M,4,0,,
TRTMNT,PRINTONREP,L,1,0,Print on treatment reports (Y/N),P
TRTMNT,PROGRAMID,C,20,0,Program ID,Program ID
TRTMNT,PROGRAM,M,4,0,Program,Program
TRTMNT,NEWINJURY,L,1,0,New injury? (Y/N),N
TRTMNT,SURGDATE,D,8,0,Date of surgery,Surg Date
TRTMNT,REPORTSTAT,C,30,0,Report status,Report Status
TRTMNT,CHGMARK,C,1,0,,

Table,Field Name,Field Type,Length,Decimals,Field Description,Report Writer Heading

WEIGHT,WEIGHTID,C,10,0,,
WEIGHT,PERSONID,C,10,0,,
WEIGHT,CREATEUSER,C,4,0,User who created the record,UseC
WEIGHT,CREATEDATE,D,8,0,Date record was created,DateCr
WEIGHT,CREATETIME,C,8,0,Time record was created,TimeCr
WEIGHT,MODIFYUSER,C,4,0,User who last modified the record,UseM
WEIGHT,MODIFYDATE,D,8,0,Date record was last modified,DateMod
WEIGHT,MODIFYTIME,C,8,0,Time record was last modified,TimeMod
WEIGHT,SEASON,C,9,0,"Season (Year - 2000, etc.)",Season
WEIGHT,SPORT,C,40,0,Sport,Sport
WEIGHT,WEIGHTDATE,D,8,0,Date weighed,Wgt Date
WEIGHT,WEIGHT,N,3,0,Weight,Wgt
WEIGHT,BODYFAT,N,4,1,Percent body fat,BFat
WEIGHT,METHOD,C,1,0,Method of measuring percent body fat,M
WEIGHT,COMMENT,C,30,0,Body fat method comment,Body Fat Method Comment
WEIGHT,CHGMARK,C,1,0,,


,,,,,,
,,,,,,
,,,,,,
